Symbol,Name,LastSale,MarketCap,IPOyear,Sector,industry,Summary Quote
ARRS,ARRIS International plc,28.16,$5.28B,n/a,Technology,Radio And Television Broadcasting And Communications Equipment,http://www.nasdaq.com/symbol/arrs
DWAT,Arrow DWA Tactical ETF,11.315,$7.92M,n/a,n/a,n/a,http://www.nasdaq.com/symbol/dwat
ARW,"Arrow Electronics, Inc.",80.24,$7.08B,n/a,Consumer Non-Durables,Electronic Components,http://www.nasdaq.com/symbol/arw
AROW,Arrow Financial Corporation,32.85,$457.11M,n/a,Finance,Major Banks,http://www.nasdaq.com/symbol/arow
ARWR,"Arrowhead Pharmaceuticals, Inc.",3.55,$265.44M,n/a,Health Care,Major Pharmaceuticals,http://www.nasdaq.com/symbol/arwr
ARTNA,Artesian Resources Corporation,36.92,$339.24M,n/a,Public Utilities,Water Supply,http://www.nasdaq.com/symbol/artna
AJG,Arthur J. Gallagher & Co.,60.99,$10.99B,n/a,Finance,Specialty Insurers,http://www.nasdaq.com/symbol/ajg
APAM,Artisan Partners Asset Management Inc.,31.65,$2.39B,2013,Finance,Investment Managers,http://www.nasdaq.com/symbol/apam
ARTW,"Art&#39;s-Way Manufacturing Co., Inc.",2.2,$9.16M,n/a,Capital Goods,Industrial Machinery/Components,http://www.nasdaq.com/symbol/artw
ASA,ASA Gold and Precious Metals Limited,11.98,$231.09M,n/a,n/a,n/a,http://www.nasdaq.com/symbol/asa
AKG,Asanko Gold Inc.,1,$203.45M,n/a,Basic Industries,Mining & Quarrying of Nonmetallic Minerals (No Fuels),http://www.nasdaq.com/symbol/akg
ASBB,"ASB Bancorp, Inc.",43.075,$163.17M,2011,Finance,Savings Institutions,http://www.nasdaq.com/symbol/asbb
ABG,Asbury Automotive Group Inc,59.6,$1.24B,2002,Consumer Durables,Automotive Aftermarket,http://www.nasdaq.com/symbol/abg
ASNA,"Ascena Retail Group, Inc.",2.1,$409.58M,n/a,Consumer Services,Clothing/Shoe/Accessory Stores,http://www.nasdaq.com/symbol/asna
ASND,Ascendis Pharma A/S,34.24,$1.11B,2015,Health Care,Major Pharmaceuticals,http://www.nasdaq.com/symbol/asnd
ASCMA,"Ascent Capital Group, Inc.",11.58,$143.07M,n/a,Consumer Services,Other Consumer Services,http://www.nasdaq.com/symbol/ascma
AHP,"Ashford Hospitality Prime, Inc.",9.66,$308.66M,2013,Consumer Services,Real Estate Investment Trusts,http://www.nasdaq.com/symbol/ahp
AHP^B,"Ashford Hospitality Prime, Inc.",20.7376,n/a,n/a,n/a,n/a,http://www.nasdaq.com/symbol/ahp^b
AHT,Ashford Hospitality Trust Inc,6.47,$630.37M,2003,Consumer Services,Real Estate Investment Trusts,http://www.nasdaq.com/symbol/aht
AHT^D,Ashford Hospitality Trust Inc,25.83,n/a,n/a,n/a,n/a,http://www.nasdaq.com/symbol/aht^d
AHT^F,Ashford Hospitality Trust Inc,25.29,n/a,n/a,n/a,n/a,http://www.nasdaq.com/symbol/aht^f
AHT^G,Ashford Hospitality Trust Inc,25.34,n/a,n/a,n/a,n/a,http://www.nasdaq.com/symbol/aht^g
AHT^H,Ashford Hospitality Trust Inc,25.2,n/a,n/a,n/a,n/a,http://www.nasdaq.com/symbol/aht^h
AINC,Ashford Inc.,55.72,$112.65M,2014,Consumer Services,Professional Services,http://www.nasdaq.com/symbol/ainc
ASH,Ashland Global Holdings Inc.,64.17,$4B,n/a,Consumer Durables,Specialty Chemicals,http://www.nasdaq.com/symbol/ash
APB,"Asia Pacific Fund, Inc. (The)",14.2,$146.89M,n/a,n/a,n/a,http://www.nasdaq.com/symbol/apb
APWC,Asia Pacific Wire & Cable Corporation Limited,2.95,$40.77M,n/a,Basic Industries,Telecommunications Equipment,http://www.nasdaq.com/symbol/apwc
GRR,"Asia Tigers Fund, Inc. (The)",12.6,$43.68M,n/a,n/a,n/a,http://www.nasdaq.com/symbol/grr
ASML,ASML Holding N.V.,165.94,$71.44B,1995,Technology,Industrial Machinery/Components,http://www.nasdaq.com/symbol/asml
ASPN,"Aspen Aerogels, Inc.",4.06,$95.79M,2014,Consumer Services,RETAIL: Building Materials,http://www.nasdaq.com/symbol/aspn
ASPU,Aspen Group Inc.,6.35,$86.32M,n/a,Consumer Services,Other Consumer Services,http://www.nasdaq.com/symbol/aspu
AHL,Aspen Insurance Holdings Limited,40.95,$2.45B,2003,Finance,Property-Casualty Insurers,http://www.nasdaq.com/symbol/ahl
AHL^C,Aspen Insurance Holdings Limited,28.12,n/a,n/a,n/a,n/a,http://www.nasdaq.com/symbol/ahl^c
AHL^D,Aspen Insurance Holdings Limited,25.16,n/a,n/a,n/a,n/a,http://www.nasdaq.com/symbol/ahl^d
AZPN,"Aspen Technology, Inc.",63.94,$4.67B,1994,Technology,EDP Services,http://www.nasdaq.com/symbol/azpn
ASMB,"Assembly Biosciences, Inc.",32.54,$565.04M,n/a,Health Care,Major Pharmaceuticals,http://www.nasdaq.com/symbol/asmb
ASB,Associated Banc-Corp,23.5,$3.56B,n/a,Finance,Major Banks,http://www.nasdaq.com/symbol/asb
